,player,GP,90 s,minutes,goals per 90,assists per 90,xG,shots per 90,shots target 90,goal per shot,shot mean dist,completed pass,short completed pass,med completed pass,long completed pass,xA,tackle wit ball rec,% duel won,ball touch per 90,% dribble,% passes received,committed fouls per 90,received fouls per 90,interceptions per 90,loose balls recovered 90,% aerials duels won
0,Federico Valverde,28.0,25.4,2290.0,0.04,0.16,2.7,1.73,0.51,0.02,22.7,89.8,95.4,89.9,67.3,2.9,28,70.0,1971.0,52.8,1560.0,13,14,34,138.0,63.2
1,Jude Bellingham,22.0,20.7,1867.0,0.77,0.14,10.3,2.46,1.3,0.29,13.8,87.6,91.8,89.0,84.1,3.1,26,40.0,1480.0,49.4,1211.0,26,63,19,99.0,48.9
2,Toni Kroos,27.0,19.1,1720.0,0.05,0.37,1.5,1.73,0.58,0.03,24.9,91.2,96.9,94.1,75.0,4.7,28,43.8,2174.0,60.0,1722.0,16,34,12,121.0,83.3
3,Aurélien Tchouaméni,22.0,17.1,1537.0,0.12,0.06,1.0,1.17,0.23,0.1,21.0,90.8,94.9,92.5,70.7,1.1,17,53.8,1354.0,41.7,1027.0,11,16,22,77.0,67.2
4,Eduardo Camavinga,21.0,14.3,1290.0,0.0,0.07,0.7,1.05,0.42,0.0,23.4,90.6,94.2,92.7,80.0,1.0,31,66.7,1138.0,46.0,835.0,37,47,21,112.0,62.5
5,Luka Modrić,23.0,12.7,1144.0,0.16,0.31,0.8,1.18,0.55,0.13,20.5,86.2,93.7,88.9,67.1,3.3,11,50.0,1203.0,42.3,946.0,15,16,17,69.0,45.5
6,Brahim Díaz,23.0,11.3,1017.0,0.35,0.18,3.8,2.21,0.88,0.16,15.6,83.4,93.2,77.9,51.6,3.8,14,45.5,638.0,52.5,527.0,18,27,3,50.0,14.3
7,Dani Ceballos,14.0,2.6,238.0,0.0,0.38,0.2,1.13,0.0,0.0,16.6,86.3,93.1,81.6,66.7,0.8,3,25.0,236.0,44.4,188.0,5,13,0,12.0,25.0
8,Arda Güler,4.0,0.3,30.0,3.0,0.0,0.4,3.0,3.0,1.0,6.8,91.7,100.0,87.5,100.0,0.0,2,100.0,31.0,50.0,24.0,4,1,0,3.0,
9,Nicolás Paz,4.0,0.3,23.0,0.0,0.0,0.1,7.83,0.0,0.0,26.2,75.0,75.0,85.7,50.0,0.0,0,,32.0,0.0,21.0,1,0,1,2.0,100.0
10,Gonzalo García,2.0,0.2,19.0,0.0,0.0,0.0,4.74,4.74,0.0,19.1,57.1,66.7,,,0.0,0,0.0,11.0,0.0,7.0,0,1,0,1.0,
11,Aleix García,,26.8,2408.0,0.11,0.22,1.4,1.12,0.37,0.1,26.0,87.7,94.6,93.3,64.8,5.0,22,53.8,2416.0,61.1,1766.0,23,30,30,174.0,37.9
12,Miguel Gutiérrez,,26.7,2401.0,0.04,0.15,2.2,0.97,0.15,0.04,23.5,85.7,94.0,85.8,66.7,5.2,16,37.9,1770.0,41.1,1153.0,19,19,18,168.0,56.3
13,Sávio,,25.1,2263.0,0.32,0.28,4.4,1.35,0.64,0.24,17.1,74.7,87.7,74.1,48.1,7.2,22,52.6,1126.0,43.4,849.0,22,45,14,133.0,23.5
14,Iván Martín,,21.7,1955.0,0.18,0.09,2.5,0.69,0.41,0.27,16.3,91.3,93.5,94.2,81.4,1.8,20,41.3,1338.0,66.7,1070.0,24,25,15,100.0,23.1
15,Viktor Tsyhankov,,17.9,1610.0,0.34,0.22,4.7,1.68,0.67,0.2,15.7,78.4,87.7,79.7,55.8,4.7,17,54.2,851.0,35.7,635.0,13,30,10,74.0,50.0
16,Yan Couto,,19.1,1722.0,0.05,0.37,1.4,1.31,0.52,0.04,21.5,78.5,88.5,78.8,56.8,2.9,24,48.5,1285.0,41.0,848.0,25,30,6,113.0,23.1
17,Yangel Herrera,,16.8,1513.0,0.24,0.0,3.7,2.2,0.71,0.11,14.5,86.2,92.3,84.3,68.9,1.4,24,47.6,1025.0,73.9,713.0,54,47,16,95.0,58.0
18,David López,,15.0,1347.0,0.13,0.0,1.4,0.67,0.27,0.2,14.5,92.2,93.0,95.9,67.1,0.3,18,78.6,1221.0,50.0,875.0,9,12,16,92.0,43.1
19,Portu,,8.9,797.0,0.45,0.34,1.9,1.24,0.68,0.36,9.5,76.7,85.1,86.4,33.3,1.1,10,23.1,282.0,18.2,213.0,10,10,1,23.0,22.2
20,Pablo Torre,,5.6,507.0,0.0,0.36,0.6,1.78,0.18,0.0,19.8,83.2,88.3,88.2,69.7,1.2,1,33.3,392.0,25.0,316.0,6,14,4,25.0,0.0
21,Valery Fernández,,5.0,452.0,0.4,0.0,0.7,1.0,0.4,0.4,18.9,84.0,94.5,77.6,50.0,0.4,7,66.7,246.0,33.3,175.0,5,13,1,28.0,40.0
22,Jhon Solis,,2.8,256.0,0.0,0.0,0.9,2.81,0.7,0.0,16.9,82.9,84.4,85.7,100.0,0.2,4,28.6,197.0,57.1,130.0,5,3,4,14.0,21.4
23,Ibrahima Kebe,,0.1,9.0,0.0,0.0,0.0,0.0,0.0,,,62.5,50.0,100.0,,0.0,1,,13.0,0.0,4.0,1,2,1,5.0,60.0
24,Silvi Clúa,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,100.0,100.0,100.0,,0.0,0,100.0,10.0,,5.0,1,0,0,0.0,
25,Jastin García,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0,,0.0,,0.0,0,0,0,0.0,
26,İlkay Gündoğan,28.0,25.3,2275.0,0.2,0.24,6.0,1.31,0.47,0.12,17.4,84.8,91.6,90.8,53.7,8.3,13,29.2,2027.0,53.2,1537.0,10,30,18,149.0,27.3
27,Andreas Christensen,22.0,17.5,1579.0,0.0,0.11,0.7,0.4,0.06,0.0,12.4,95.1,96.3,97.6,81.1,0.7,10,57.9,1417.0,60.0,1099.0,18,6,17,82.0,71.0
28,Frenkie de Jong,19.0,17.7,1590.0,0.11,0.0,0.7,0.4,0.23,0.29,20.4,92.1,96.3,91.8,76.7,4.9,26,42.1,1817.0,54.2,1447.0,18,22,13,116.0,57.5
29,Pedri,16.0,12.1,1091.0,0.16,0.16,2.1,0.91,0.33,0.18,15.7,85.6,87.4,92.3,81.0,3.5,18,30.0,926.0,44.0,725.0,9,17,10,60.0,0.0
30,Raphinha,20.0,10.1,906.0,0.4,0.6,5.4,4.17,1.59,0.1,18.4,74.9,83.3,81.6,57.5,4.1,5,23.1,626.0,48.6,445.0,11,21,7,57.0,69.2
31,Gavi,12.0,10.5,944.0,0.1,0.1,0.9,0.86,0.38,0.11,15.2,90.4,94.3,88.5,80.0,1.4,21,50.0,678.0,54.5,479.0,31,23,8,44.0,33.3
32,Oriol Romeu,21.0,8.4,756.0,0.0,0.12,0.7,1.19,0.24,0.0,23.6,89.1,93.6,91.4,66.0,0.8,17,61.1,767.0,75.0,585.0,14,10,9,48.0,44.8
33,Fermin López,21.0,8.9,800.0,0.23,0.0,3.6,3.04,1.58,0.07,14.6,82.2,92.4,79.5,64.7,0.7,13,32.0,491.0,62.5,352.0,26,12,2,42.0,29.4
34,Sergi Roberto,6.0,4.0,357.0,0.76,0.25,1.5,1.51,1.01,0.5,11.3,88.8,93.9,90.8,80.0,0.3,4,50.0,248.0,,183.0,2,1,2,22.0,28.6
