,Jugador,País,Posc,Edad,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
0,Federico Valverde,uy URU,CC,25-233,25.4,38.0,28,17.0,12.0,9.0,21.0,30.0,70.0,9.0,28.0,2.0,26.0,34,72.0,26.0,0.0,Partidos
1,Antonio Rüdiger,de GER,DF,31-008,23.0,19.0,13,13.0,2.0,4.0,14.0,18.0,77.8,4.0,22.0,17.0,5.0,10,29.0,63.0,0.0,Partidos
2,Rodrygo,br BRA,DL,23-062,21.5,11.0,10,2.0,7.0,2.0,2.0,14.0,14.3,12.0,12.0,0.0,12.0,7,18.0,3.0,0.0,Partidos
3,Jude Bellingham,eng ENG,"CC,DL",20-256,20.7,31.0,26,10.0,15.0,6.0,10.0,25.0,40.0,15.0,41.0,5.0,36.0,19,50.0,12.0,0.0,Partidos
4,Toni Kroos,de GER,CC,34-067,19.1,46.0,28,17.0,22.0,7.0,21.0,48.0,43.8,27.0,20.0,4.0,16.0,12,58.0,8.0,1.0,Partidos
5,Dani Carvajal,es ESP,DF,32-060,18.3,40.0,25,23.0,13.0,4.0,19.0,36.0,52.8,17.0,22.0,8.0,14.0,20,60.0,35.0,3.0,Partidos
6,Vinicius Júnior,br BRA,DL,23-243,16.1,15.0,10,5.0,4.0,6.0,2.0,10.0,20.0,8.0,11.0,0.0,11.0,1,16.0,3.0,2.0,Partidos
7,Aurélien Tchouaméni,fr FRA,"CC,DF",24-044,17.1,29.0,17,17.0,11.0,1.0,7.0,13.0,53.8,6.0,17.0,10.0,7.0,22,51.0,39.0,1.0,Partidos
8,Andriy Lunin,ua UKR,PO,25-029,16.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,9.0,0.0,Partidos
9,Ferland Mendy,fr FRA,DF,28-277,14.2,12.0,7,9.0,2.0,1.0,8.0,11.0,72.7,3.0,9.0,2.0,7.0,12,24.0,20.0,1.0,Partidos
10,Eduardo Camavinga,fr FRA,"CC,DF",21-122,14.3,52.0,31,23.0,24.0,5.0,18.0,27.0,66.7,9.0,27.0,5.0,22.0,21,73.0,17.0,1.0,Partidos
11,David Alaba,at AUT,DF,31-261,12.8,13.0,9,7.0,5.0,1.0,4.0,8.0,50.0,4.0,10.0,7.0,3.0,15,28.0,34.0,0.0,Partidos
12,Nacho,es ESP,DF,34-053,12.9,13.0,8,5.0,6.0,2.0,5.0,10.0,50.0,5.0,14.0,8.0,6.0,11,24.0,33.0,0.0,Partidos
