,Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos,PJ
0,Federico Valverde,uy URU,CC,25-236,28.0,26,2290.0,25.4,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,2.7,2.7,4.5,7.2,94.0,197.0,78.0,0.04,0.16,0.2,0.04,0.2,0.11,0.18,0.28,0.11,0.28,Partidos,
1,Antonio Rüdiger,de GER,DF,31-011,24.0,23,2066.0,23.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.3,1.3,0.7,2.0,15.0,65.0,1.0,0.04,0.0,0.04,0.04,0.04,0.06,0.03,0.09,0.06,0.09,Partidos,
2,Rodrygo,br BRA,DL,23-065,28.0,23,1934.0,21.5,8.0,5.0,13.0,8.0,0.0,1.0,2.0,0.0,9.5,8.7,3.2,11.9,132.0,76.0,251.0,0.37,0.23,0.6,0.37,0.6,0.44,0.15,0.59,0.41,0.55,Partidos,
3,Jude Bellingham,eng ENG,"CC,DL",20-259,22.0,22,1867.0,20.7,16.0,3.0,19.0,15.0,1.0,1.0,5.0,1.0,10.3,9.5,3.6,13.1,69.0,154.0,142.0,0.77,0.14,0.92,0.72,0.87,0.5,0.17,0.67,0.46,0.63,Partidos,
4,Toni Kroos,de GER,CC,34-070,27.0,19,1720.0,19.1,1.0,7.0,8.0,1.0,0.0,0.0,3.0,0.0,1.5,1.5,4.1,5.6,28.0,238.0,25.0,0.05,0.37,0.42,0.05,0.42,0.08,0.21,0.29,0.08,0.29,Partidos,
5,Dani Carvajal,es ESP,DF,32-063,21.0,19,1644.0,18.3,3.0,2.0,5.0,3.0,0.0,0.0,4.0,1.0,0.9,0.9,2.1,3.1,26.0,67.0,133.0,0.16,0.11,0.27,0.16,0.27,0.05,0.12,0.17,0.05,0.17,Partidos,
6,Vinicius Júnior,br BRA,DL,23-246,19.0,18,1450.0,16.1,10.0,4.0,14.0,10.0,0.0,0.0,4.0,0.0,8.4,8.4,2.8,11.2,98.0,45.0,216.0,0.62,0.25,0.87,0.62,0.87,0.52,0.18,0.7,0.52,0.7,Partidos,
7,Aurélien Tchouaméni,fr FRA,"CC,DF",24-047,22.0,17,1537.0,17.1,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.0,1.0,0.5,1.6,22.0,98.0,13.0,0.12,0.06,0.18,0.12,0.18,0.06,0.03,0.09,0.06,0.09,Partidos,
8,Andriy Lunin,ua UKR,PO,25-032,16.0,16,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
9,Ferland Mendy,fr FRA,DF,28-280,18.0,16,1276.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.8,0.9,17.0,69.0,80.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Partidos,
10,Eduardo Camavinga,fr FRA,"CC,DF",21-125,21.0,15,1290.0,14.3,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,0.8,1.5,40.0,77.0,23.0,0.0,0.07,0.07,0.0,0.07,0.05,0.05,0.11,0.05,0.11,Partidos,
11,David Alaba,at AUT,DF,31-264,14.0,14,1154.0,12.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.7,1.6,9.0,51.0,13.0,0.0,0.08,0.08,0.0,0.08,0.08,0.05,0.13,0.08,0.13,Partidos,
