,player,GP,minutes,goals per 90,assists per 90,xG,shots per 90,shots target 90,completed pass,short completed pass,med completed pass,long completed pass,xA,tackle wit ball rec,% duel won,interceptions per 90,loose balls recovered 90,% aerials duels won
0,Federico Valverde,28.0,2290,0.04,0.16,2.7,1.73,0.51,89.8,95.4,89.9,67.3,2.9,1.1,70.0,1.34,5.43,63.2
1,Jude Bellingham,22.0,1867,0.77,0.14,10.3,2.46,1.3,87.6,91.8,89.0,84.1,3.1,1.26,40.0,0.92,4.78,48.9
2,Toni Kroos,27.0,1720,0.05,0.37,1.5,1.73,0.58,91.2,96.9,94.1,75.0,4.7,1.47,43.8,0.63,6.34,83.3
3,Aurélien Tchouaméni,22.0,1537,0.12,0.06,1.0,1.17,0.23,90.8,94.9,92.5,70.7,1.1,0.99,53.8,1.29,4.5,67.2
4,Eduardo Camavinga,21.0,1290,0.0,0.07,0.7,1.05,0.42,90.6,94.2,92.7,80.0,1.0,2.17,66.7,1.47,7.83,62.5
5,Luka Modrić,23.0,1144,0.16,0.31,0.8,1.18,0.55,86.2,93.7,88.9,67.1,3.3,0.87,50.0,1.34,5.43,45.5
6,Brahim Díaz,23.0,1017,0.35,0.18,3.8,2.21,0.88,83.4,93.2,77.9,51.6,3.8,1.24,45.5,0.27,4.42,14.3
11,Aleix García,,2408,0.11,0.22,1.4,1.12,0.37,87.7,94.6,93.3,64.8,5.0,0.82,53.8,1.12,6.49,37.9
12,Miguel Gutiérrez,,2401,0.04,0.15,2.2,0.97,0.15,85.7,94.0,85.8,66.7,5.2,0.6,37.9,0.67,6.29,56.3
13,Sávio,,2263,0.32,0.28,4.4,1.35,0.64,74.7,87.7,74.1,48.1,7.2,0.88,52.6,0.56,5.3,23.5
14,Iván Martín,,1955,0.18,0.09,2.5,0.69,0.41,91.3,93.5,94.2,81.4,1.8,0.92,41.3,0.69,4.61,23.1
15,Viktor Tsyhankov,,1610,0.34,0.22,4.7,1.68,0.67,78.4,87.7,79.7,55.8,4.7,0.95,54.2,0.56,4.13,50.0
16,Yan Couto,,1722,0.05,0.37,1.4,1.31,0.52,78.5,88.5,78.8,56.8,2.9,1.26,48.5,0.31,5.92,23.1
17,Yangel Herrera,,1513,0.24,0.0,3.7,2.2,0.71,86.2,92.3,84.3,68.9,1.4,1.43,47.6,0.95,5.65,58.0
18,David López,,1347,0.13,0.0,1.4,0.67,0.27,92.2,93.0,95.9,67.1,0.3,1.2,78.6,1.07,6.13,43.1
19,Portu,,797,0.45,0.34,1.9,1.24,0.68,76.7,85.1,86.4,33.3,1.1,1.12,23.1,0.11,2.58,22.2
26,İlkay Gündoğan,28.0,2275,0.2,0.24,6.0,1.31,0.47,84.8,91.6,90.8,53.7,8.3,0.51,29.2,0.71,5.89,27.3
27,Andreas Christensen,22.0,1579,0.0,0.11,0.7,0.4,0.06,95.1,96.3,97.6,81.1,0.7,0.57,57.9,0.97,4.69,71.0
28,Frenkie de Jong,19.0,1590,0.11,0.0,0.7,0.4,0.23,92.1,96.3,91.8,76.7,4.9,1.47,42.1,0.73,6.55,57.5
29,Pedri,16.0,1091,0.16,0.16,2.1,0.91,0.33,85.6,87.4,92.3,81.0,3.5,1.49,30.0,0.83,4.96,0.0
30,Raphinha,20.0,906,0.4,0.6,5.4,4.17,1.59,74.9,83.3,81.6,57.5,4.1,0.5,23.1,0.69,5.64,69.2
31,Gavi,12.0,944,0.1,0.1,0.9,0.86,0.38,90.4,94.3,88.5,80.0,1.4,2.0,50.0,0.76,4.19,33.3
32,Oriol Romeu,21.0,756,0.0,0.12,0.7,1.19,0.24,89.1,93.6,91.4,66.0,0.8,2.02,61.1,1.07,5.71,44.8
33,Fermin López,21.0,800,0.23,0.0,3.6,3.04,1.58,82.2,92.4,79.5,64.7,0.7,1.46,32.0,0.22,4.72,29.4
38,Antoine Griezmann,24.0,1947,0.51,0.28,9.6,2.63,1.06,77.4,88.8,75.2,58.1,4.7,0.6,32.3,0.42,3.29,27.3
39,Koke,25.0,1670,0.0,0.16,0.3,0.32,0.05,90.3,95.5,91.5,73.6,2.1,1.88,51.7,0.7,7.26,52.0
