,Jugador,País,Posc,Edad,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos
0,Federico Valverde,uy URU,CC,25-236,25.4,1542.0,1717.0,89.8,23361.0,6332.0,903.0,947.0,95.4,490.0,545.0,89.9,99.0,147.0,67.3,4,4.5,2.9,-0.5,38.0,195.0,36.0,4.0,197.0,Partidos
1,Antonio Rüdiger,de GER,DF,31-011,23.0,1244.0,1384.0,89.9,23164.0,8169.0,466.0,488.0,95.5,660.0,695.0,95.0,107.0,176.0,60.8,0,0.7,0.7,-0.7,4.0,71.0,9.0,2.0,65.0,Partidos
2,Rodrygo,br BRA,DL,23-065,21.5,731.0,829.0,88.2,8637.0,1590.0,529.0,563.0,94.0,137.0,167.0,82.0,16.0,26.0,61.5,5,3.2,3.2,1.8,37.0,35.0,36.0,4.0,76.0,Partidos
3,Jude Bellingham,eng ENG,"CC,DL",20-259,20.7,1045.0,1193.0,87.6,14954.0,3039.0,670.0,730.0,91.8,291.0,327.0,89.0,53.0,63.0,84.1,3,3.6,3.1,-0.6,37.0,106.0,39.0,1.0,154.0,Partidos
4,Toni Kroos,de GER,CC,34-070,19.1,1864.0,2044.0,91.2,34476.0,12400.0,879.0,907.0,96.9,691.0,734.0,94.1,264.0,352.0,75.0,7,4.1,4.7,2.9,52.0,279.0,19.0,5.0,238.0,Partidos
5,Dani Carvajal,es ESP,DF,32-063,18.3,959.0,1114.0,86.1,15221.0,3514.0,503.0,550.0,91.5,374.0,426.0,87.8,61.0,84.0,72.6,2,2.1,2.7,-0.1,17.0,42.0,22.0,3.0,67.0,Partidos
6,Vinicius Júnior,br BRA,DL,23-246,16.1,376.0,523.0,71.9,5545.0,1131.0,233.0,275.0,84.7,86.0,138.0,62.3,34.0,54.0,63.0,4,2.8,2.6,1.2,22.0,28.0,16.0,1.0,45.0,Partidos
7,Aurélien Tchouaméni,fr FRA,"CC,DF",24-047,17.1,1087.0,1197.0,90.8,17898.0,6070.0,538.0,567.0,94.9,470.0,508.0,92.5,65.0,92.0,70.7,1,0.5,1.1,0.5,8.0,124.0,12.0,4.0,98.0,Partidos
8,Andriy Lunin,ua UKR,PO,25-032,16.0,428.0,482.0,88.8,9127.0,5526.0,107.0,107.0,100.0,253.0,257.0,98.4,65.0,113.0,57.5,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Partidos
9,Ferland Mendy,fr FRA,DF,28-280,14.2,915.0,970.0,94.3,12714.0,3828.0,576.0,591.0,97.5,265.0,287.0,92.3,38.0,44.0,86.4,0,0.8,0.6,-0.8,9.0,54.0,6.0,1.0,69.0,Partidos
