,Jugador,País,Posc,Edad,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
0,Federico Valverde,uy URU,CC,25-236,25.4,1971.0,54.0,292.0,1128.0,574.0,56.0,1971.0,36.0,19.0,52.8,16.0,44.4,1339.0,7818.0,4345.0,94.0,85.0,13.0,21.0,10.0,1560.0,78.0,Partidos
1,Antonio Rüdiger,de GER,DF,31-011,23.0,1540.0,202.0,723.0,763.0,60.0,21.0,1540.0,2.0,1.0,50.0,1.0,50.0,1035.0,5294.0,3336.0,15.0,8.0,0.0,2.0,2.0,1163.0,1.0,Partidos
2,Rodrygo,br BRA,DL,23-065,21.5,1119.0,3.0,38.0,342.0,753.0,175.0,1118.0,131.0,51.0,38.9,61.0,46.6,831.0,6157.0,3580.0,132.0,87.0,68.0,59.0,23.0,939.0,251.0,Partidos
3,Jude Bellingham,eng ENG,"CC,DL",20-259,20.7,1480.0,17.0,152.0,757.0,595.0,112.0,1479.0,79.0,39.0,49.4,29.0,36.7,981.0,5376.0,2633.0,69.0,63.0,25.0,46.0,33.0,1211.0,142.0,Partidos
4,Toni Kroos,de GER,CC,34-070,19.1,2174.0,46.0,438.0,1346.0,412.0,12.0,2174.0,5.0,3.0,60.0,2.0,40.0,1441.0,6675.0,3533.0,28.0,40.0,1.0,8.0,5.0,1722.0,25.0,Partidos
5,Dani Carvajal,es ESP,DF,32-063,18.3,1283.0,74.0,334.0,559.0,406.0,46.0,1283.0,16.0,7.0,43.8,7.0,43.8,727.0,3041.0,1499.0,26.0,29.0,8.0,16.0,16.0,841.0,133.0,Partidos
6,Vinicius Júnior,br BRA,DL,23-246,16.1,809.0,2.0,42.0,220.0,559.0,135.0,809.0,143.0,55.0,38.5,76.0,53.1,609.0,4832.0,2545.0,98.0,56.0,59.0,61.0,28.0,678.0,216.0,Partidos
7,Aurélien Tchouaméni,fr FRA,"CC,DF",24-047,17.1,1354.0,98.0,407.0,786.0,171.0,15.0,1354.0,12.0,5.0,41.7,3.0,25.0,931.0,5154.0,3018.0,22.0,36.0,1.0,13.0,7.0,1027.0,13.0,Partidos
8,Andriy Lunin,ua UKR,PO,25-032,16.0,514.0,443.0,512.0,2.0,0.0,0.0,514.0,0.0,0.0,,0.0,,293.0,1271.0,846.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,Partidos
9,Ferland Mendy,fr FRA,DF,28-280,14.2,1068.0,31.0,279.0,528.0,270.0,14.0,1068.0,24.0,13.0,54.2,9.0,37.5,673.0,2772.0,1260.0,17.0,19.0,3.0,16.0,10.0,779.0,80.0,Partidos
