,Jugador,País,Posc,Edad,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,Partidos
0,Paulo Gazzaniga,ar ARG,PO,32-072,28.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
1,Aleix García,es ESP,CC,26-260,26.8,3,30,10,33.3,1.12,0.37,0.1,0.3,26.0,7.0,0,0,1.4,1.4,0.05,1.6,1.6,Partidos
2,Miguel Gutiérrez,es ESP,"DF,CC",22-231,26.7,1,26,4,15.4,0.97,0.15,0.04,0.25,23.5,0.0,0,0,2.2,2.2,0.09,-1.2,-1.2,Partidos
3,Sávio,br BRA,"CC,DL",19-339,25.1,8,34,16,47.1,1.35,0.64,0.24,0.5,17.1,0.0,0,0,4.4,4.4,0.13,3.6,3.6,Partidos
4,Iván Martín,es ESP,"CC,DL",25-029,21.7,4,15,9,60.0,0.69,0.41,0.27,0.44,16.3,0.0,0,0,2.5,2.5,0.16,1.5,1.5,Partidos
5,Daley Blind,nl NED,DF,34-005,23.0,1,13,4,30.8,0.56,0.17,0.08,0.25,15.8,1.0,0,0,1.5,1.5,0.12,-0.5,-0.5,Partidos
6,Artem Dovbyk,ua UKR,DL,26-267,19.3,14,53,24,45.3,2.75,1.25,0.21,0.46,12.4,1.0,3,3,11.8,9.4,0.18,2.2,1.6,Partidos
7,Eric García,es ESP,DF,23-065,19.6,2,11,3,27.3,0.56,0.15,0.18,0.67,10.1,0.0,0,0,2.2,2.2,0.2,-0.2,-0.2,Partidos
8,Viktor Tsyhankov,ua UKR,"CC,DL",26-120,17.9,6,30,12,40.0,1.68,0.67,0.2,0.5,15.7,2.0,0,0,4.7,4.7,0.16,1.3,1.3,Partidos
9,Yan Couto,br BRA,"DF,CC",21-285,19.1,1,25,10,40.0,1.31,0.52,0.04,0.1,21.5,0.0,0,0,1.4,1.4,0.06,-0.4,-0.4,Partidos
10,Yangel Herrera,ve VEN,CC,26-060,16.8,4,37,12,32.4,2.2,0.71,0.11,0.33,14.5,0.0,0,0,3.7,3.7,0.1,0.3,0.3,Partidos
11,David López,es ESP,"DF,CC",34-157,15.0,2,10,4,40.0,0.67,0.27,0.2,0.5,14.5,0.0,0,0,1.4,1.4,0.14,0.6,0.6,Partidos
12,Arnau Martinez,es ESP,DF,20-324,11.0,0,1,0,0.0,0.09,0.0,0.0,,7.9,0.0,0,0,0.2,0.2,0.2,-0.2,-0.2,Partidos
13,Portu,es ESP,"CC,DL",31-298,8.9,4,11,6,54.5,1.24,0.68,0.36,0.67,9.5,0.0,0,0,1.9,1.9,0.17,2.1,2.1,Partidos
14,Cristhian Stuani,uy URU,DL,37-154,8.1,7,29,14,48.3,3.6,1.74,0.24,0.5,9.7,0.0,0,0,7.5,7.5,0.26,-0.5,-0.5,Partidos
15,Juanpe,es ESP,DF,32-319,6.7,0,3,0,0.0,0.45,0.0,0.0,,11.6,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Partidos
16,Pablo Torre,es ESP,"CC,DL",20-346,5.6,0,10,1,10.0,1.78,0.18,0.0,0.0,19.8,0.0,0,0,0.6,0.6,0.06,-0.6,-0.6,Partidos
17,Valery Fernández,es ESP,"CC,DF",24-112,5.0,2,5,2,40.0,1.0,0.4,0.4,1.0,18.9,0.0,0,0,0.7,0.7,0.14,1.3,1.3,Partidos
18,Jhon Solis,co COL,CC,19-163,2.8,0,8,2,25.0,2.81,0.7,0.0,0.0,16.9,0.0,0,0,0.9,0.9,0.12,-0.9,-0.9,Partidos
19,Antal Yaakobishvili,hu HUN,DF,19-246,0.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
20,Ibrahima Kebe,ml MLI,CC,23-225,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
21,Bernardo Espinosa,co COL,DF,34-247,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
22,Silvi Clúa,es ESP,CC,19-045,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
23,Jastin García,es ESP,CC,20-059,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
24,Total del equipo,,,26.7,28.0,59,351,133,37.9,12.54,4.75,0.16,0.42,16.3,11.0,3,3,47.8,45.4,0.13,11.2,10.6,
25,Total del oponente,,,28.0,28.0,33,379,119,31.4,13.54,4.25,0.08,0.26,17.4,12.0,2,3,38.0,35.6,0.1,-5.0,-4.6,
26,İlkay Gündoğan,de GER,CC,33-142,25.3,5,33,12,36.4,1.31,0.47,0.12,0.33,17.4,3.0,1,2,6.0,4.5,0.14,-1.0,-0.5,Partidos
27,Robert Lewandowski,pl POL,DL,35-206,23.0,12,70,26,37.1,3.05,1.13,0.13,0.35,13.4,2.0,3,3,15.2,12.8,0.18,-3.2,-3.8,Partidos
28,Jules Koundé,fr FRA,DF,25-123,22.9,1,20,5,25.0,0.87,0.22,0.05,0.2,14.6,0.0,0,0,1.9,1.9,0.09,-0.9,-0.9,Partidos
29,João Cancelo,pt POR,DF,29-292,20.8,2,24,6,25.0,1.15,0.29,0.08,0.33,21.5,0.0,0,0,1.3,1.3,0.05,0.7,0.7,Partidos
30,Andreas Christensen,dk DEN,"DF,CC",27-339,17.5,0,7,1,14.3,0.4,0.06,0.0,0.0,12.4,0.0,0,0,0.7,0.7,0.1,-0.7,-0.7,Partidos
31,Frenkie de Jong,nl NED,CC,26-307,17.7,2,7,4,57.1,0.4,0.23,0.29,0.5,20.4,0.0,0,0,0.7,0.7,0.1,1.3,1.3,Partidos
32,Marc-André ter Stegen,de GER,PO,31-319,18.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
33,Ronald Araújo,uy URU,DF,25-007,17.9,1,16,6,37.5,0.9,0.34,0.06,0.17,13.9,0.0,0,0,1.4,1.4,0.09,-0.4,-0.4,Partidos
34,João Félix,pt POR,DL,24-125,13.4,5,46,19,41.3,3.43,1.42,0.11,0.26,16.8,1.0,0,0,6.2,6.2,0.14,-1.2,-1.2,Partidos
35,Alejandro Balde,es ESP,DF,20-148,15.3,0,5,1,20.0,0.33,0.07,0.0,0.0,21.2,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
36,Lamine Yamal,es ESP,DL,16-245,16.4,4,42,15,35.7,2.56,0.91,0.1,0.27,17.2,0.0,0,0,4.3,4.3,0.1,-0.3,-0.3,Partidos
37,Pedri,es ESP,"CC,DL",21-110,12.1,2,11,4,36.4,0.91,0.33,0.18,0.5,15.7,0.0,0,0,2.1,2.1,0.19,-0.1,-0.1,Partidos
38,Raphinha,br BRA,"DL,CC",27-091,10.1,4,42,16,38.1,4.17,1.59,0.1,0.25,18.4,5.0,0,0,5.4,5.4,0.13,-1.4,-1.4,Partidos
39,Gavi,es ESP,"CC,DL",19-222,10.5,1,9,4,44.4,0.86,0.38,0.11,0.25,15.2,0.0,0,0,0.9,0.9,0.11,0.1,0.1,Partidos
40,Ferrán Torres,es ESP,DL,24-014,10.4,7,33,14,42.4,3.17,1.35,0.21,0.5,16.8,2.0,0,0,5.2,5.2,0.16,1.8,1.8,Partidos
41,Iñaki Peña,es ESP,PO,25-012,10.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
42,Oriol Romeu,es ESP,CC,32-172,8.4,0,10,2,20.0,1.19,0.24,0.0,0.0,23.6,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7,Partidos
43,Iñigo Martínez,es ESP,DF,32-302,8.8,0,5,0,0.0,0.57,0.0,0.0,,11.8,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Partidos
44,Pau Cubarsí,es ESP,DF,17-052,8.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
45,Fermin López,es ESP,"CC,DL",20-308,8.9,2,27,14,51.9,3.04,1.58,0.07,0.14,14.6,0.0,0,0,3.6,3.6,0.14,-1.6,-1.6,Partidos
46,Sergi Roberto,es ESP,"CC,DF",32-036,4.0,3,6,4,66.7,1.51,1.01,0.5,0.75,11.3,0.0,0,0,1.5,1.5,0.26,1.5,1.5,Partidos
47,Marcos Alonso,es ESP,DF,33-077,1.8,0,3,2,66.7,1.67,1.11,0.0,0.0,20.8,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
48,Vitor Roque,br BRA,DL,19-015,2.2,2,10,5,50.0,4.57,2.28,0.2,0.4,11.1,0.0,0,0,2.5,2.5,0.25,-0.5,-0.5,Partidos
49,Héctor Fort,es ESP,DF,17-225,1.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
50,Marc Guiu,es ESP,"DL,CC",18-070,0.8,1,4,1,25.0,4.86,1.22,0.25,1.0,12.1,0.0,0,0,0.8,0.8,0.19,0.2,0.2,Partidos
51,Abdessamad Ezzalzouli,ma MAR,"DL,CC",22-088,0.8,0,4,1,25.0,5.29,1.32,0.0,0.0,19.1,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Partidos
52,Eric García,es ESP,DF,23-065,0.6,0,1,0,0.0,1.58,0.0,0.0,,11.0,0.0,0,0,0.0,0.0,0.05,0.0,0.0,Partidos
53,Ansu Fati,es ESP,"CC,DL",21-135,0.6,0,7,1,14.3,12.6,1.8,0.0,0.0,18.6,0.0,0,0,0.7,0.7,0.11,-0.7,-0.7,Partidos
54,Total del equipo,,,26.7,28.0,54,442,163,36.9,15.79,5.82,0.11,0.31,16.3,13.0,4,5,61.0,57.1,0.13,-7.0,-7.1,
55,Total del oponente,,,27.6,28.0,34,298,102,34.2,10.64,3.64,0.11,0.33,16.9,4.0,0,0,29.0,29.0,0.1,5.0,5.0,
56,Jan Oblak,si SVN,PO,31-067,28.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
57,Axel Witsel,be BEL,DF,35-062,23.7,1,5,2,40.0,0.21,0.08,0.2,0.5,7.4,0.0,0,0,0.9,0.9,0.18,0.1,0.1,Partidos
58,Mario Hermoso,es ESP,DF,28-270,22.6,0,15,4,26.7,0.66,0.18,0.0,0.0,15.7,0.0,0,0,1.2,1.2,0.08,-1.2,-1.2,Partidos
59,Antoine Griezmann,fr FRA,"DL,CC",32-359,21.6,11,57,23,40.4,2.63,1.06,0.14,0.35,17.2,3.0,3,3,9.6,7.4,0.13,1.4,0.6,Partidos
60,Koke,es ESP,CC,32-066,18.6,0,6,1,16.7,0.32,0.05,0.0,0.0,20.7,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Partidos
61,Marcos Llorente,es ESP,"CC,DF",29-044,20.8,6,20,14,70.0,0.96,0.67,0.3,0.43,13.2,0.0,0,0,2.9,2.9,0.15,3.1,3.1,Partidos
62,Álvaro Morata,es ESP,DL,31-143,18.5,14,57,30,52.6,3.08,1.62,0.25,0.47,11.4,0.0,0,1,12.1,11.3,0.2,1.9,2.7,Partidos
63,Rodrigo De Paul,ar ARG,CC,29-295,16.8,1,22,9,40.9,1.31,0.53,0.05,0.11,19.3,1.0,0,0,1.5,1.5,0.07,-0.5,-0.5,Partidos
64,Samuel Lino,br BRA,DF,24-082,15.7,3,32,15,46.9,2.04,0.96,0.09,0.2,17.3,0.0,0,0,2.7,2.7,0.08,0.3,0.3,Partidos
65,Nahuel Molina,ar ARG,DF,25-343,16.5,2,10,4,40.0,0.61,0.24,0.2,0.5,17.6,1.0,0,0,1.1,1.1,0.11,0.9,0.9,Partidos
66,Stefan Savić,me MNE,DF,33-066,13.1,0,4,1,25.0,0.31,0.08,0.0,0.0,9.7,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,Partidos
67,Saúl Ñíguez,es ESP,CC,29-114,13.5,0,13,3,23.1,0.96,0.22,0.0,0.0,15.0,0.0,0,0,1.1,1.1,0.09,-1.1,-1.1,Partidos
68,Pablo Barrios,es ESP,CC,20-273,12.6,0,9,5,55.6,0.71,0.4,0.0,0.0,23.0,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,Partidos
69,Rodrigo Riquelme,es ESP,"DF,CC",23-347,11.7,2,26,12,46.2,2.22,1.02,0.08,0.17,16.7,0.0,0,0,2.2,2.2,0.08,-0.2,-0.2,Partidos
70,César Azpilicueta,es ESP,DF,34-199,10.6,0,2,2,100.0,0.19,0.19,0.0,0.0,20.3,0.0,0,0,0.6,0.6,0.32,-0.6,-0.6,Partidos
71,José María Giménez,uy URU,DF,29-054,8.7,0,5,1,20.0,0.57,0.11,0.0,0.0,10.2,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,Partidos
72,Memphis,nl NED,DL,30-030,8.1,5,32,13,40.6,3.93,1.6,0.16,0.38,16.9,3.0,0,0,5.5,5.5,0.18,-0.5,-0.5,Partidos
73,Ángel Correa,ar ARG,"DL,CC",29-005,9.8,7,25,12,48.0,2.54,1.22,0.24,0.5,17.9,1.0,1,1,6.2,5.4,0.22,0.8,0.6,Partidos
74,Reinildo Mandava,mz MOZ,DF,30-053,4.6,1,3,2,66.7,0.65,0.44,0.33,0.5,8.2,0.0,0,0,0.3,0.3,0.11,0.7,0.7,Partidos
75,Gabriel Paulista,br BRA,DF,33-109,4.0,0,1,1,100.0,0.25,0.25,0.0,0.0,4.7,0.0,0,0,0.2,0.2,0.19,-0.2,-0.2,Partidos
76,Yannick Carrasco,be BEL,DF,30-192,2.5,0,2,1,50.0,0.81,0.41,0.0,0.0,21.9,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
77,Thomas Lemar,fr FRA,CC,28-123,1.8,0,2,0,0.0,1.1,0.0,0.0,,23.0,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Partidos
78,Çağlar Söyüncü,tr TUR,DF,27-296,1.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
79,Arthur Vermeeren,be BEL,CC,19-036,0.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
80,Javi Galán,es ESP,DF,29-116,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
81,Salim El Jebari,ma MAR,CC,20-038,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
82,Total del equipo,,,29.8,28.0,53,348,155,44.5,12.43,5.54,0.14,0.32,15.9,9.0,4,5,49.2,45.4,0.13,3.8,3.6,
83,Total del oponente,,,27.6,28.0,31,354,110,31.1,12.64,3.93,0.08,0.27,17.9,6.0,1,2,29.6,28.0,0.08,1.4,2.0,
